Source,Target,Weight,Distance,Type
18,46,0.5,10,Undirected
18,49,0.55,9,Undirected
18,50,0.65,7,Undirected
18,59,0.55,9,Undirected
18,62,0.6,8,Undirected
18,63,0.6,8,Undirected
18,65,0.55,9,Undirected
18,66,0.5,10,Undirected
18,67,0.5,10,Undirected
18,70,0.6,8,Undirected
18,72,0.6,8,Undirected
18,73,0.55,9,Undirected
18,75,0.65,7,Undirected
18,79,0.44999999999999996,11,Undirected
18,81,0.5,10,Undirected
18,83,0.6,8,Undirected
18,89,0.65,7,Undirected
19,75,0.85,3,Undirected
19,21,0.7,6,Undirected
19,34,0.7,6,Undirected
19,46,0.7,6,Undirected
19,48,0.7,6,Undirected
19,87,0.7,6,Undirected
19,39,0.65,7,Undirected
19,80,0.65,7,Undirected
19,89,0.65,7,Undirected
19,22,0.6,8,Undirected
19,28,0.55,9,Undirected
19,30,0.44999999999999996,11,Undirected
19,41,0.5,10,Undirected
19,42,0.6,8,Undirected
19,43,0.19999999999999996,16,Undirected
19,47,0.6,8,Undirected
19,55,0.6,8,Undirected
19,57,0.30000000000000004,14,Undirected
19,58,0.5,10,Undirected
19,62,0.6,8,Undirected
19,65,0.55,9,Undirected
19,67,0.5,10,Undirected
19,73,0.55,9,Undirected
19,78,0.25,15,Undirected
20,39,0.6,8,Undirected
20,60,0.55,9,Undirected
20,68,0.5,10,Undirected
20,75,0.5,10,Undirected
20,22,0.44999999999999996,11,Undirected
20,64,0.44999999999999996,11,Undirected
20,83,0.44999999999999996,11,Undirected
20,88,0.44999999999999996,11,Undirected
20,26,0.4,12,Undirected
20,30,0.4,12,Undirected
20,38,0.4,12,Undirected
20,50,0.4,12,Undirected
20,73,0.4,12,Undirected
20,84,0.4,12,Undirected
21,34,0.8,4,Undirected
21,87,0.8,4,Undirected
21,50,0.75,5,Undirected
21,48,0.7,6,Undirected
21,24,0.65,7,Undirected
21,26,0.65,7,Undirected
21,32,0.65,7,Undirected
21,49,0.65,7,Undirected
21,75,0.65,7,Undirected
21,25,0.5,10,Undirected
21,30,0.55,9,Undirected
21,37,0.4,12,Undirected
21,38,0.44999999999999996,11,Undirected
21,39,0.55,9,Undirected
21,40,0.55,9,Undirected
21,42,0.6,8,Undirected
21,46,0.6,8,Undirected
21,58,0.6,8,Undirected
21,62,0.6,8,Undirected
21,70,0.6,8,Undirected
21,72,0.6,8,Undirected
21,83,0.6,8,Undirected
21,89,0.65,7,Undirected
22,89,0.75,5,Undirected
22,56,0.65,7,Undirected
22,68,0.65,7,Undirected
22,75,0.65,7,Undirected
22,34,0.6,8,Undirected
22,51,0.6,8,Undirected
22,64,0.6,8,Undirected
22,70,0.6,8,Undirected
22,72,0.6,8,Undirected
22,26,0.55,9,Undirected
22,28,0.44999999999999996,11,Undirected
22,38,0.44999999999999996,11,Undirected
22,39,0.55,9,Undirected
22,71,0.55,9,Undirected
23,64,0.75,5,Undirected
23,83,0.75,5,Undirected
23,24,0.7,6,Undirected
23,65,0.7,6,Undirected
23,63,0.65,7,Undirected
23,70,0.65,7,Undirected
23,40,0.6,8,Undirected
23,56,0.6,8,Undirected
23,69,0.6,8,Undirected
23,74,0.6,8,Undirected
23,75,0.6,8,Undirected
23,25,0.55,9,Undirected
23,28,0.5,10,Undirected
23,29,0.5,10,Undirected
23,31,0.44999999999999996,11,Undirected
23,43,0.25,15,Undirected
23,46,0.55,9,Undirected
23,54,0.44999999999999996,11,Undirected
23,55,0.55,9,Undirected
23,59,0.5,10,Undirected
23,66,0.55,9,Undirected
23,77,0.25,15,Undirected
23,82,0.30000000000000004,14,Undirected
23,85,0.5,10,Undirected
23,88,0.44999999999999996,11,Undirected
24,64,0.65,7,Undirected
24,49,0.6,8,Undirected
24,69,0.6,8,Undirected
24,75,0.6,8,Undirected
